kepid,kepler_name,period,t0,duration_hrs,disposition,depth_ppm,duration_days
4275191,Kepler-688 b,3.895936525,170.527552,2.3111,CONFIRMED,8544.8,0.09629583333333334
4476123,Kepler-689 b,22.36646466,175.45862,5.228,CONFIRMED,986.8,0.21783333333333332
3351888,Kepler-685 b,1.625522174,170.8266564,2.38963,CONFIRMED,7969.0,0.09956791666666666
3453214,,19.620346923,181.881819,2.0038,CANDIDATE,21724.6,0.08349166666666667
3554600,,7.544039,171.7982,6.222,FALSE POSITIVE,322.6,0.25925000000000004
3641726,Kepler-1727 b,9.02930689,177.20422,3.1449,CONFIRMED,1019.8,0.1310375
3734868,,10.328035714,174.581054,7.7915,FALSE POSITIVE,16917.7,0.32464583333333336
3832474,Kepler-30 d,143.2063047,154.23552,8.9302,CONFIRMED,10565.7,0.37209166666666665
8395660,Kepler-106 b,6.164876,135.63916,3.262,CONFIRMED,55.8,0.13591666666666666
3832474,Kepler-30 c,60.32494216,243.892578,6.6188,CONFIRMED,20280.4,0.2757833333333333
3832474,Kepler-30 b,29.1598615,150.69922,4.803,CONFIRMED,488.0,0.200125
3836375,,1.540397253,170.50479,2.1541,FALSE POSITIVE,816.1,0.08975416666666668
3838486,,2.99025443,171.9834,5.414,FALSE POSITIVE,589.2,0.22558333333333333
3935914,Kepler-686 b,1.594745374,170.6483505,1.9604,CONFIRMED,15044.5,0.08168333333333333
3940418,Kepler-1728 b,4.783002698,170.508434,2.335,CONFIRMED,1008.7,0.09729166666666667
4049131,Kepler-687 b,20.50588921,181.43428,4.0595,CONFIRMED,2105.5,0.16914583333333333
4139816,Kepler-235 b,3.340218842,171.979062,1.9104,CONFIRMED,1632.6,0.0796
5287983,,2.507089906,171.002455,2.0067,FALSE POSITIVE,1339.2,0.08361249999999999
5358241,Kepler-53 b,18.64932728,174.771,4.4056,CONFIRMED,893.6,0.18356666666666666
10875245,Kepler-107 c,4.90144976,138.60548,4.1654,CONFIRMED,140.7,0.17355833333333334
5358241,Kepler-53 d,9.75192101,138.78608,4.793,CONFIRMED,418.0,0.19970833333333335
